"fin_spk"	"swe_spk"	"oth_spk"	"foreign"	"foreign_bkg"	"hki_born"	"pop_dens"	"emp_dens"	"inc_cap"	"sq_m_cap"	"health_cap"	"inc_supp"	"child_prot"	"unemp_rate"	"emp_rate"	"carless"	"edu_sec"	"dw_rent"	"pop_growth"	"VIHR"	"PS"
"101 Vironniemen peruspiiri"	83.7	9.4	6.9	5	8.2	39	6014	17362	40688	38.9	9.40327520725283	3.99380552612275	5.61926605504587	7.42971887550201	76.7	54.3557566029476	74	44.2	0.9	21.95	5.36
"102 Ullanlinnan peruspiiri"	75.4	16.6	7.9	6.1	9.7	39.6	4028	3851	46112	37.6	7.62357936805295	4.84508213765856	4.44149817699702	7.80905077262693	76.3	56.444218033622	75.2	40.4	0.7	20.04	3.94
"103 Kampinmalmin peruspiiri"	81	9	10	7.2	11.1	35.6	8090	11557	42065	36.4	8.80906684804306	5.79061371841155	6.22541078454062	8.34838450732491	75.4	60.5218317358892	70.5	58.4	1.8	21.55	5.68
"104 Töölön peruspiiri"	83.3	9.8	6.8	5.4	8.2	35.9	7674	5827	36416	35.6	11.1245127111585	5.17875041764116	3.58090185676393	7.04101776705418	77.7	60.0625526284133	77.9	46.5	0.4	22.62	4.98
"105 Lauttasaaren peruspiiri"	79	14	7	5.2	8.1	40.6	5809	1796	37796	35.2	10.6421628464216	3.92271137810455	3.22673581100547	7.85340314136126	78.3	48.0591344565577	70.9	36	1.6	18.17	6.18
"201 Reijolan peruspiiri"	82.2	7.3	10.5	6.7	10.6	39	3833	5508	28450	31.7	10.3384615384615	9.28056717805672	8.51381628080657	10.2577214154224	73.4	61.1909448818898	68.8	75.1	1.3	22.9355140186916	7.71869158878505
"202 Munkkiniemen peruspiiri"	81.6	11.5	6.9	5.3	8.4	43.1	3790	1288	37728	37.6	13.7951971774882	4.82296867907399	4.65430016863406	7.54633226057041	74.3	50.2969898318736	69.8	49.1	0.4	17.09	6.59
"203 Haagan peruspiiri"	82.6	6.4	11	8.4	11.6	36.7	4989	2051	26670	31.5	13.2527864805848	10.2754436866498	8.30051499545592	10.5859590934218	71.9	58.6582754817362	66.5	68.3	0.4	20.1066779293855	10.1384905686083
"204 Pitäjänmäen peruspiiri"	82.3	4.2	13.5	9.3	13.2	38.9	2649	3692	26305	32	10.4655575180901	12.245705244123	11.5133724722766	11.1510053344276	71.6	49.4037076396269	60.7	70.7	1.8	17.64	13.62
"205 Kaarelan peruspiiri"	78.7	3.6	17.8	12.4	17.1	40.5	2899	535	23494	32.5	10.3258649033045	12.799412196914	11.2693498452012	12.1951219512195	66.5	49.8133492608631	57.7	82.4	0.4	15.16	16.45
"301 Kallion peruspiiri"	87.5	3.9	8.6	6.5	9.8	28.4	10773	9306	28012	30	10.615947721754	9.78329921648902	8.2093991671624	11.544235924933	74	72.1850273889227	75	57.2	1.3	28.59	7.46
"302 Alppiharjun peruspiiri"	87.6	3.5	8.9	6.9	9.9	27.6	12887	3587	28845	28.4	10.5729679673359	12.7995224695148	8.16733067729084	12.0799607554574	72.4	75.4601226993865	77.7	52.5	0.2	28.55	8.31
"303 Vallilan peruspiiri"	86.7	5.2	8.1	5.5	8.7	34.7	5707	8387	26021	30	10.9161871234175	9.33015935991536	9.97521685254027	11.6838865684766	72.1	68.5211554109032	67.7	84.7	3.5	19.71	12.06
"304 Pasilan peruspiiri"	80.6	3.2	16.2	9.5	14.6	33.3	2176	6016	24971	33.3	13.3165632146357	13.6462644304073	12.4245038826575	11.7330016583748	65.7	62.8389482333607	65.2	93.1	1.3	27.42	9.39
"305 Vanhankaupungin peruspiiri"	86.5	5.1	8.4	5.7	8.8	43.7	4506	1782	25588	30.9	11.6045	7.44904261890056	9.09090909090909	10.4636492666772	69.9	57.9535038746771	62.9	93.9	3.1	25.91	8.31
"401 Maunulan peruspiiri"	83.6	4.1	12.3	7.5	11.9	46.5	2211	1633	24343	34.8	17.5995375722543	14.9481599635411	10.4838709677419	15.6317951195941	65.1	54.7060045709537	54.5	104.8	0.2	18.79	13.98
"402 Pakilan peruspiiri"	92.5	3.8	3.7	2.5	4.2	52.7	2981	566	37494	39.6	8.99905926622766	1.77105831533477	2.33291298865069	7.15368293422249	74.5	21.8315617334424	64.2	8.9	0.7	13.05	8.25
"403 Tuomarinkylän peruspiiri"	93.5	2.9	3.6	2	3.9	55.2	960	85	33640	36.6	7.55710740462861	2.72863914903457	4.53504351809437	6.64869721473495	74.6	17.8797946239807	61.9	20.1	-0.1	14.23	10.46
"404 Oulunkylän peruspiiri"	87	3.8	9.2	6.3	9.6	44.6	3194	1424	28470	36	11.9159090909091	9.4276809746423	8.13679245283019	10.1160409556314	71.3	46.9739033870072	63.3	56.6	0.3	17.4	11.53
"405 Pakilan peruspiiri"	92.4	3.7	3.9	2.3	4.4	54.1	1075	288	34599	38.9	11.1329464165204	5.47063555913113	8.36864406779661	9.08084163898117	72.9	21.2342402123424	59.1	18.7	0.5	13.17	10.55
"501 Latokartanon peruspiiri"	80.4	2.4	17.2	11.1	16.2	39.9	2530	661	22459	31.7	12.2563010441435	13.7767220902613	10.3516396681154	12.6548110511273	68.8	51.5960582835004	56.3	87.8	4.1	19.61	14.12
"502 Pukinmäen peruspiiri"	80.2	2.4	17.4	11.3	16.8	39.6	4109	875	23222	33.3	12.0413918305598	14.7820823244552	14.9253731343284	13.4984950219958	67.4	52.4382779024689	59.1	81	-0.2	13.93	16.3
"503 Malmin peruspiiri"	85	2.7	12.3	7.4	11.7	47.3	2642	1026	25189	33.8	11.0979319892706	13.1615262540537	12.3849227027966	12.6531144123013	69	44.451881600476	57	71.7	0.3	13.64	17.2
"504 Suutarilan peruspiiri"	87.9	2.7	9.4	6	9.3	49.9	2661	545	24386	34.5	11.1411229135053	10.0584898971996	9.7245409015025	9.61709706144256	69.2	32.8553871364195	55.3	55.8	-0.1	12.01	19.41
"505 Puistolan peruspiiri"	86.9	1.9	11.2	6.8	10.7	47.2	2544	529	25653	34.1	8.72335990829034	10.2371582435791	9.08879590887959	10.6692913385827	70.7	35.7919159848577	56.3	52.6	0.4	12.9	16.3
"506 Jakomäen peruspiiri"	70.5	1.5	28	18.6	25.9	42	2709	263	17077	32.5	14.0318185974216	27.3708120386144	19.5610687022901	18.495778971604	57.8	54.6320630749015	47	119.7	-0.3	9.86	27.33
"601 Kulosaaren peruspiiri"	73.2	19.2	7.6	5.7	9.2	48.8	1573	457	46962	42.9	10.9355216881594	4.56786919283675	2.14765100671141	8.32449628844114	72.2	45.98190526876	66.6	32.7	0.2	16.68	5.7
"602 Herttoniemen peruspiiri"	82.1	4	13.9	8.6	13.5	44.4	4018	1430	26501	33.4	12.3284590632821	14.1399416909621	8.90721649484536	14.2620122113087	68.2	56.4731844322589	59.6	91	0.7	21.270678703191	12.6333733583023
"603 Laajasalon peruspiiri"	84.4	6.6	9	6	9.6	48.6	1077	135	30316	36.8	10.609799187327	8.03319209039548	6.02035048049746	10.7035115240739	70.3	41.2239747634069	60.5	58.7	0.3	14.51	11.44
"701 Vartiokylän peruspiiri"	77.3	5.1	17.7	10.6	16.3	45.1	3126	1339	26336	35.5	11.5796834911337	14.6800615440311	8.50632911392405	14.1391738286665	65.5	50.1195732155997	56.1	67.3	0.4	14.07	15.3
"702 Myllypuron peruspiiri"	77	3.6	19.4	11.1	17.6	45.1	3234	518	22313	33.7	13.5090991398823	15.8717610891524	9.07118055555556	15.3039002177787	65	50.6578947368421	48.9	78.2	2.2	15.262	19.187
"703 Mellunkylän peruspiiri"	72.2	3	24.7	15.1	22.6	42.6	3809	440	20080	32.7	12.8863410573799	18.4808500388084	16.4166781340305	16.942381273914	61.4	50.9544550196268	49.4	87.6	0.3	10.71	21.43
"704 Vuosaaren peruspiiri"	74.6	4.9	20.5	11.5	18.6	43.6	2173	308	23091	33.1	11.3558551857512	17.39376465199	14.3655020132485	15.293155167712	65.4	50.2264171531453	54.3	70.7	1.5	14.18	16.05
